community,n_nodes,mean_weighted_degree,mean_betweenness,mean_pagerank,mean_closeness,mean_eigenvector,total_weighted_degree,top_node,pct_nodes
0,26,18.0,0.02053806219248476,0.013428428153773224,0.35136763685679884,0.08836258457747265,468.0,deep learning; integrated circuit modeling; accuracy; predictive models; computational modeling,31.0
1,23,15.956521739130435,0.019717257151618144,0.011688441084976235,0.36466579978760644,0.07927601418717331,367.0,transformers; feature extraction; batteries; degradation; data mining,27.4
2,16,14.8125,0.0248157263199138,0.011630113154481639,0.3578203597224859,0.05815805141870391,237.0,transformer; network; classification; patterns; estimation,19.0
3,9,6.555555555555555,0.019231397133248437,0.009906881478506716,0.24516482098418318,0.00283921641749595,59.0,vision transformer; deep; annotation; computer vision; deep learning;,10.7
4,2,4.5,0.010872759330002939,0.005772442015540449,0.3110357713353876,0.021093324477415968,9.0,detection; anomaly,2.4
5,2,2.0,0.0,0.011904761904761904,0.012048192771084338,1.9354949417510307e-14,4.0,diffusion model; semantic segmentation,2.4
6,2,2.0,0.0,0.011904761904761904,0.012048192771084338,1.9354949417510307e-14,4.0,artificial; intelligence,2.4
7,2,2.0,0.0,0.011904761904761904,0.012048192771084338,1.9354949417510307e-14,4.0,extraction; feature,2.4
8,2,2.0,0.0,0.011904761904761904,0.012048192771084338,1.9354949417510307e-14,4.0,convolutional neural network; pattern-recognition,2.4
