node,degree,weighted_degree,betweenness,pagerank,closeness,eigenvector,community
WOS:000250437100017,3,531.0,0.0,0.0044611463978720236,0.011904761904761904,0.5526223022388143,8
WOS:000262285900028,3,531.0,0.0,0.0044611463978720236,0.011904761904761904,0.5526223022388143,8
WOS:000251113600015,3,528.0,0.0,0.004438090440829355,0.011904761904761904,0.5506536399302897,8
WOS:000173969500004,6,424.0,0.00044267374944665776,0.0070492708955575255,0.024725274725274724,6.70630953005506e-05,0
WOS:000311229600009,5,392.0,0.00044267374944665776,0.006510865541080166,0.02295918367346939,6.578709520296347e-05,0
WOS:000265248200004,5,386.0,0.00015809776765952064,0.006134208914094333,0.021428571428571425,6.563369912670115e-05,0
WOS:000258592700016,2,317.0,0.0,0.004226975161696012,0.007936507936507936,5.559224900133965e-06,17
WOS:000259368000012,2,317.0,0.0,0.004226975161696012,0.007936507936507936,5.559224900133965e-06,17
WOS:000222226600021,4,288.0,0.0,0.004589315726785895,0.020089285714285712,5.52444791003603e-05,0
WOS:000255676700035,3,285.0,1.5809776765952063e-05,0.005778433647197172,0.011904761904761904,1.9513520315192505e-08,14
WOS:000255702400003,3,285.0,1.5809776765952063e-05,0.005778433647197172,0.011904761904761904,1.9513520315192505e-08,14
WOS:000254305000002,4,283.0,0.0001264782141276165,0.005623467967194709,0.016534391534391533,3.958136619326398e-09,3
WOS:000263314200003,3,260.0,0.0,0.0024498934432684964,0.011904761904761904,0.29325369862802675,8
WOS:000185061500015,4,260.0,0.0,0.004192654879315689,0.020089285714285712,5.041131727115701e-05,0
WOS:000244259900003,4,252.0,0.0002845759817871371,0.008512896056799309,0.016534391534391533,1.6576815182802486e-12,2
WOS:000209419300010,2,248.0,0.0,0.0034037571864894,0.007936507936507936,4.647357817525833e-06,17
WOS:000226138700002,4,230.0,0.0001264782141276165,0.004965440693093465,0.016534391534391533,3.1730794586432497e-09,3
WOS:000262835600001,3,226.0,3.161955353190413e-05,0.0048041885509044644,0.011904761904761904,1.486404479442429e-10,7
WOS:000237053500001,4,205.0,0.0,0.004179480526476305,0.016534391534391533,3.0788234521897665e-09,3
WOS:000235031400003,4,203.0,0.0,0.004546933222123636,0.015873015873015872,1.168410507191086e-10,4
WOS:000267424500009,3,200.0,0.0,0.004345138075312531,0.011904761904761904,1.288125294135365e-10,7
WOS:000239130000010,4,199.0,6.323910706380825e-05,0.004513216382197804,0.015873015873015872,1.1022304168768657e-10,4
WOS:000258921300013,3,198.0,0.0,0.004349875290827872,0.012698412698412698,1.2450983930165572e-10,4
WOS:000264892200004,4,196.0,0.0,0.004025169489665441,0.016534391534391533,2.984191749525034e-09,3
WOS:000263554000001,3,189.0,0.0002845759817871371,0.006538979500673734,0.015873015873015872,3.06229727255596e-14,1
WOS:000284808900011,3,186.0,0.0,0.004110419247935452,0.012698412698412698,1.1954452919164175e-10,4
WOS:000233683500004,4,184.0,0.00018971732119142475,0.009414032537261603,0.015873015873015872,2.872432160311134e-17,6
WOS:000247063300003,3,181.0,0.0001264782141276165,0.006133383590606785,0.014172335600907028,1.4474863218611885e-12,2
WOS:000250860700015,1,177.0,0.0,0.003952569169960474,0.003968253968253968,3.8686657949227125e-11,32
WOS:000252002500005,1,177.0,0.0,0.003952569169960474,0.003968253968253968,3.8686657949227125e-11,32
WOS:000230393100001,3,169.0,6.323910706380825e-05,0.005940550019443949,0.011904761904761904,1.4189770573522139e-14,16
WOS:000254939900003,1,168.0,0.0,0.003952569169960474,0.003968253968253968,1.1729928548180133e-11,33
WOS:000258903200001,1,168.0,0.0,0.003952569169960474,0.003968253968253968,1.1729928548180133e-11,33
WOS:000255065200015,2,168.0,0.0,0.0036471576383578937,0.008928571428571428,1.2887476465405918e-10,7
