source,target,weight
WOS:000259673500087,WOS:000269789900008,45.0
WOS:000252904100023,WOS:000258256800004,45.0
WOS:000251616100011,WOS:000256679300009,45.0
WOS:000232145600005,WOS:000256561200004,45.0
WOS:000220796700002,WOS:000261892700002,44.0
WOS:000265128900007,WOS:000317587300005,44.0
WOS:000232145600005,WOS:000240765900004,44.0
WOS:000258493900001,WOS:000285752800039,44.0
WOS:000237050100002,WOS:000243249200001,44.0
WOS:000221409600001,WOS:000226663800059,44.0
WOS:000243317700003,WOS:000269522100012,44.0
WOS:000271098400003,WOS:000273331300002,43.0
WOS:000220863100002,WOS:000265248200004,43.0
WOS:000239130000010,WOS:000284808900011,43.0
WOS:000224946300038,WOS:000244259900003,43.0
WOS:000254494400007,WOS:000255702400003,43.0
WOS:000220796700002,WOS:000244866700002,43.0
WOS:000230393100001,WOS:000267745600007,43.0
WOS:000254494400007,WOS:000255676700035,43.0
WOS:000177918300001,WOS:000225358100032,43.0
WOS:000255456300086,WOS:000269789900008,43.0
WOS:000233711300021,WOS:000241162000011,43.0
WOS:000247489500001,WOS:000256908200009,42.0
WOS:000242488800013,WOS:000313830000085,42.0
WOS:000262835600001,WOS:000267581800010,42.0
WOS:000249425900011,WOS:000257910200001,41.0
WOS:000230159200004,WOS:000263554000001,41.0
WOS:000255448700042,WOS:000261423600010,41.0
WOS:000170517500002,WOS:000188663900001,41.0
WOS:000177157400021,WOS:000178287600006,41.0
WOS:000250235400002,WOS:000253220900002,41.0
WOS:000246326800004,WOS:000262456700010,40.0
WOS:000250235400004,WOS:000256491100005,40.0
WOS:000237053500001,WOS:000264892200004,40.0
WOS:000227636200010,WOS:000297649900004,40.0
WOS:000265357800014,WOS:000269067000010,40.0
WOS:000264748800001,WOS:000268990500006,40.0
WOS:000244638400019,WOS:000249319100006,40.0
WOS:000178629500006,WOS:000223372700017,40.0
WOS:000239780500003,WOS:000253655300002,39.0
WOS:000232874200002,WOS:000258256800004,39.0
WOS:000236106000001,WOS:000258256800004,39.0
WOS:000226461500009,WOS:000229015500045,39.0
WOS:000221786900058,WOS:000224315600010,39.0
WOS:000173969500004,WOS:000220863100002,39.0
WOS:000247967800001,WOS:000257527100013,39.0
WOS:000236765400008,WOS:000259037600012,39.0
WOS:000243317700003,WOS:000311229600009,39.0
