source,target,weight
WOS:001244136600001,WOS:001476945200131,3.0
WOS:000869653600001,WOS:001555079000006,3.0
WOS:001476945200131,WOS:001631323000001,3.0
WOS:001259324800001,WOS:001378122500020,3.0
WOS:001100921400001,WOS:001537081400001,3.0
WOS:001259324800001,WOS:001596535300002,3.0
WOS:001259324800001,WOS:001557491000001,3.0
WOS:001259324800001,WOS:001492213800023,3.0
WOS:001259324800001,WOS:001476945200131,3.0
WOS:001259324800001,WOS:001420963300007,3.0
WOS:001280261300001,WOS:001558390000001,3.0
WOS:001291294600229,WOS:001461675500003,3.0
WOS:001291294600229,WOS:001532189500063,3.0
WOS:001098109400001,WOS:001259324800001,3.0
WOS:001337346800001,WOS:001596535300002,3.0
WOS:001496920600004,WOS:001652289700001,3.0
WOS:001496920600004,WOS:001517345700044,3.0
WOS:001517345700044,WOS:001596652300095,3.0
WOS:001098109400001,WOS:001631323000001,3.0
WOS:001068976200001,WOS:001537081400001,3.0
WOS:001068976200001,WOS:001596535300002,3.0
WOS:001068976200001,WOS:001161724400001,3.0
WOS:001342997100001,WOS:001392871400001,3.0
WOS:001342997100001,WOS:001596535300002,3.0
WOS:001346503100045,WOS:001496920600004,3.0
WOS:001378122500020,WOS:001476945200131,3.0
WOS:000981574300123,WOS:001346503100045,3.0
WOS:000981574300123,WOS:001208695800013,3.0
WOS:000981574300123,WOS:001123254100054,3.0
WOS:000981574300123,WOS:001537081400001,3.0
WOS:000981574300123,WOS:001517345700044,3.0
WOS:001451808000001,WOS:001600047600018,3.0
WOS:001451808000001,WOS:001476945200131,3.0
WOS:001457758000014,WOS:001534546500004,3.0
WOS:001459669000018,WOS:001503898500003,3.0
WOS:001392871400001,WOS:001517345700044,3.0
WOS:001392871400001,WOS:001496920600004,3.0
WOS:001392871400001,WOS:001514038500004,3.0
WOS:001496920600004,WOS:001557491000001,3.0
WOS:001503898500003,WOS:001557491000001,3.0
WOS:001514426300110,WOS:001596864800022,3.0
WOS:001392871400001,WOS:001503898500003,3.0
WOS:001392871400001,WOS:001582397500001,3.0
WOS:001414322000001,WOS:001514426300110,3.0
WOS:001414322000001,WOS:001496920600004,3.0
WOS:001420963300007,WOS:001451808000001,3.0
WOS:001420963300007,WOS:001557491000001,3.0
WOS:001424943400022,WOS:001596535300002,3.0
WOS:001439559300012,WOS:001451808000001,3.0
WOS:001442947000173,WOS:001596535300002,3.0
WOS:001442947000173,WOS:001557491000001,3.0
WOS:001442947000173,WOS:001496920600004,3.0
WOS:000887271100001,WOS:001178135100015,3.0
WOS:001451808000001,WOS:001532189500063,3.0
WOS:001451808000001,WOS:001481122200211,3.0
WOS:001424943400022,WOS:001496920600004,3.0
WOS:001432345700001,WOS:001457758000014,3.0
WOS:001432930500054,WOS:001596864800022,3.0
WOS:001439325400001,WOS:001600047600018,3.0
WOS:000887271100001,WOS:001144015500015,3.0
WOS:001178135100015,WOS:001596864800022,3.0
WOS:001161724400001,WOS:001596535300002,3.0
WOS:001161724400001,WOS:001600047600018,3.0
WOS:001559160300130,WOS:001582397500001,3.0
WOS:001596535300002,WOS:001652289700001,3.0
WOS:001600047600018,WOS:001622773400009,2.0
WOS:000800559502012,WOS:001338112400004,2.0
