source,target,weight
Kyeong K_2018_IEEE T SEMICONDUCT M,Yu JB_2022_IEEE T IND INFORM,4.0
Fan SKS_2024_INT J PROD ECON,Wei YX_2022_IEEE T SEMICONDUCT M,4.0
Lin TY_2017_IEEE I CONF COMP VIS,Vaswani A_2017_ADV NEUR IN,4.0
Deng J_2009_PROC CVPR IEEE,Vaswani A_2017_ADV NEUR IN,4.0
Chen SH_2023_EXPERT SYST APPL,Wu MJ_2015_IEEE T SEMICONDUCT M,4.0
Liu Z_2021_2021 IEEE/CVF INTERNATIONAL CONFERENCE ON COMPUTER VISION (ICCV 2021),Simonyan K_2015_Arxiv,4.0
Chen SH_2025_J INTELL MANUF,Wang JL_2020_IEEE T SEMICONDUCT M,4.0
Dosovitskiy A_2021_Arxiv,Zhao ZY_2024_RELIAB ENG SYST SAFE,4.0
Nag S_2022_COMPUT IND,Wang JL_2020_IEEE T SEMICONDUCT M,4.0
Nakazawa T_2018_IEEE T SEMICONDUCT M,Yu JB_2022_IEEE T IND INFORM,4.0
Ronneberger O_2015_LECT NOTES COMPUT SC,Xie EZ_2021_ADV NEUR IN,4.0
Saqlain M_2020_IEEE T SEMICONDUCT M,Wang JL_2020_IEEE T SEMICONDUCT M,4.0
Saqlain M_2020_IEEE T SEMICONDUCT M,Wu MJ_2015_IEEE T SEMICONDUCT M,4.0
Vaswani A_2017_ADV NEUR IN,Xu JH_2022_Arxiv,4.0
Liu Z_2021_2021 IEEE/CVF INTERNATIONAL CONFERENCE ON COMPUTER VISION (ICCV 2021),Ronneberger O_2015_LECT NOTES COMPUT SC,4.0
Wang JL_2020_IEEE T SEMICONDUCT M,Wei YX_2022_IEEE T SEMICONDUCT M,4.0
Dosovitskiy A_2021_Arxiv,Hou XN_2024_IEEE T SEMICONDUCT M,4.0
Wang JL_2020_IEEE T SEMICONDUCT M,Yu JB_2022_IEEE T IND INFORM,4.0
Wang JL_2020_IEEE T SEMICONDUCT M,Yu NG_2019_IEEE T SEMICONDUCT M,4.0
Wang JL_2020_IEEE T SEMICONDUCT M,Yu NG_2023_CAAI T INTELL TECHNO,4.0
Wu HX_2021_ADV NEUR IN,Zhou HY_2021_AAAI CONF ARTIF INTE,4.0
Wu MJ_2015_IEEE T SEMICONDUCT M,Yu JB_2022_IEEE T IND INFORM,4.0
Wu MJ_2015_IEEE T SEMICONDUCT M,Yu NG_2019_IEEE T SEMICONDUCT M,4.0
Hou XN_2024_IEEE T SEMICONDUCT M,Wang JL_2020_IEEE T SEMICONDUCT M,4.0
Vaswani A_2017_ADV NEUR IN,Zhou HY_2021_AAAI CONF ARTIF INTE,4.0
Chan TF_2001_IEEE T IMAGE PROCESS,NAJMAN L_1994_SIGNAL PROCESS,3.0
Bieniek A_2000_PATTERN RECOGN,Castrejón L_2017_PROC CVPR IEEE,3.0
