work_id,title,authors,year,journal,doi,doc_type,cited_by_count
WOS:001501825800001,Semi-Supervised Vision Transformer Framework for AI-Based RHEED Image Classification of Ferroelectric Nitride MBE Growth,"Chen, YY Wang, DH Jiang, DL Mi, ZT",2025,CRYSTAL GROWTH & DESIGN,10.1021/acs.cgd.5c00179,Article,1
WOS:001297875600069,Performance Comparison of Convolutional and Transformer Neural Networks in Defect Classification for Industrial Images,"Talib, MSM Samsuri, MH Yuen, SL Lau, PY Wong, CW Kamarudin, NA Hon, HW",2024,"2024 21ST INTERNATIONAL CONFERENCE ON ELECTRICAL ENGINEERING/ELECTRONICS, COMPUTER, TELECOMMUNICATIONS AND INFORMATION TECHNOLOGY, ECTI-CON 2024",10.1109/ECTI-CON60892.2024.10594916,Proceedings Paper,1
WOS:001195590600001,UnionMixup and Max-Min-Saliency Mixup for Mixed-type Defect Recognition of Wafer Bin Maps,"Yu, QQ",2024,IEICE ELECTRONICS EXPRESS,10.1587/elex.21.20240054,Article,1
WOS:001291294600229,An end-to-end wafer map defect recognition model,"Xia, M Mu, XB Wu, ZH",2024,"2024 5TH INTERNATIONAL CONFERENCE ON COMPUTER ENGINEERING AND APPLICATION, ICCEA 2024",10.1109/ICCEA62105.2024.10603564,Proceedings Paper,1
WOS:001378122500020,Stealing the Invisible: Unveiling Pre-Trained CNN Models Through Adversarial Examples and Timing Side-Channels,"Shukla, S Alam, M Mitra, P Mukhopadhyay, D",2024,IEEE JOURNAL ON EMERGING AND SELECTED TOPICS IN CIRCUITS AND SYSTEMS,10.1109/JETCAS.2024.3485133,Article,1
WOS:001461675500003,COFA: counterfactual attention framework for trustworthy wafer map failure classification,"Feng, KY Wang, J Yin, CK Li, AD",2025,APPLIED INTELLIGENCE,10.1007/s10489-025-06488-0,Article,1
WOS:001525827100001,A novel industrial thermoelectric cooler component defect vision transformer detector based on local and global features fusion,"Tu, J Tang, MJ Han, Y Wei, D Wong, KKL",2025,PATTERN RECOGNITION LETTERS,10.1016/j.patrec.2025.06.022,Article,1
WOS:001529799400001,Advanced virtual metrology using distribution alignment loss for practical quality control,"Ji, YG Kim, IH Shin, M Lee, GT Jang, J",2025,INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,10.1080/00207543.2025.2532147,Article,1
WOS:001514426300078,Metrology and Segmentation in SEM/TEM Imaging: Accelerating Semiconductor Analysis through Advanced Deep Learning Techniques,"Sanou, IW Baderot, J Hallal, A Mazauric, L Barra, V Martinez, S Foucher, J",2025,"METROLOGY, INSPECTION, AND PROCESS CONTROL XXXIX",10.1117/12.3051067,Proceedings Paper,1
WOS:001548845800005,Phys-trans FPM: a real-time nanometer solution for industrial circuit inspection using reflective Fourier ptychographic microscopy,"Pham, V Chon, BH Ahn, HK",2025,MEASUREMENT,10.1016/j.measurement.2025.118459,Article,1
WOS:001521509400003,Video transformer with three-dimensional shifted window multi-head self-attention for automatic part quality detection during two-photon lithography,"Xiao, ZH Peng, DD Wang, ZS Dong, TZX Shao, YF",2025,ADVANCED ENGINEERING INFORMATICS,10.1016/j.aei.2025.103585,Article,1
